"Thématiques","Critères","Accueil non connecté|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/login",Vos demandes|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier,Un dossier en cours|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier/O19-V7J-EJW,Une question ?|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/faq,"Mon profil|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/profil","Contact",Plan du site|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/plan,"Mentions légales","Accessibilité","CGU|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/conditions"
"8","4","c",c,c,c,"c","c",c,"c","c","c"
"8","5","c",c,c,c,"c","c",c,"c","c","c"
"8","6","c",c,c,c,"c","c",c,"c","c","c"
"8","7","na",na,na,na,"na","na",na,"na","na","na"
"8","8","na",na,na,na,"na","na",na,"na","na","na"
"8","9","c",c,"nc|2 balises `<hr>`sont utilisées autour de ""Voir moins de pièces jointes"" à des fins de présentation.",,,,,,,
"8","10","na",na,na,na,"na","na",na,"na","na","na"
"9","1","c",c,"c|Le bouton ""Télécharger toutes les pièces"" ne devrait pas faire partie du titre `<h3>` ""Pièces jointes""",c,"nc|Pas de titre 1 `<h1>`","c",c,"c","c","c"
"9","2","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)","c|On peut ajouter des attributs `role` pour la rétrocompatibilité avec certains anciens navigateurs (`<header role=""banner"">`, et `<main role=""main"">`)"
"9","3","c|Dommage d'avoir une liste pour un seul élément (""Une question ?"")","c|Étrange liste ordonnée d'un seul élément ""Retour""",nc|Les numéros de parcelles devraient être construits sous forme de liste.,nc|La liste du contenu central est mal construite : il y a un mélange d'éléments `<li>` et `<p>`.,"c|Étrange liste ordonnée d'un seul élément ""Retour""","c|Étrange liste ordonnée d'un seul élément ""Retour""","c|Étrange liste ordonnée d'un seul élément ""Retour""","nc|Les 3 listes du contenu central sont mal construites : elles comportent des éléments `<p>` au lieu d'éléments `<li>`.","c|Étrange liste ordonnée d'un seul élément ""Retour""","nc|Plusieurs listes du contenu central sont mal construites : elles comportent des éléments `<p>` au lieu d'éléments `<li>`."
